1227811	1408
1227812	1238
1227813	562
1227814	562
1333549	287
1001990	562
1032488	607712
1346032	1280
1235801	1622
1235802	97253
513052	87883
513053	87883
513051	87883
1234142	1639
1234141	1639
1351782	485
1346019	1280
1126914	562
1191312	29497
1312367	183417
1312369	176102
1134669	1639
1134663	28901
1151336	1496
1121957	223903
1074482	1685
1074485	1719
1074486	573
1074488	661979
670391	454925
1131732	1402
1398970	470
1280956	562
1280954	74319
1280953	81033
1280950	81031
1280958	562
1280959	562
1112233	83554
187410	632
1159212	1313
1159210	1313
1159211	1313
1218079	28095
1185920	33049
1239783	1452
1239786	1313
1239784	28037
1239789	1313
1238432	28173
1238430	28173
1189394	59512
1144303	562
1227689	75561
1281275	562
1281276	562
1281277	562
1281270	562
1281272	562
1281273	562
135947	135946
135948	122358
1128980	28141
1128981	28141
931276	36745
246200	89184
246201	28037
246202	1310
1054843	118562
1333542	287
1054841	118562
989499	55601
1054846	118562
1219055	266127
1054849	118562
1120935	103730
1310601	470
1123404	43131
1354268	82983
1354269	703
1123405	340097
1310604	470
871271	884215
1310606	470
1328372	573
29351	1510
1121894	96345
1328374	573
1121895	498301
1311779	28901
1311778	28901
1311776	28901
59205	28901
59204	28901
59207	28901
59201	28901
59203	28901
59202	28901
59208	28901
1402574	287
1402575	287
1402576	287
1402577	287
1402570	287
1402572	287
1402573	287
694519	562
694518	562
694517	562
694516	562
1038844	562
1150615	53413
1150613	554
1121369	203264
1121368	37637
1121361	39791
1121360	556548
1121363	541095
1121362	225326
1121365	161890
1121364	441501
1121367	43769
1121366	35756
1265675	28901
1112208	1764
561229	204042
298568	92934
1117948	317
1117949	317
1117944	317
1117945	317
1117946	317
1117947	317
1117941	1358
1117942	1719
1227697	1126
317865	781
1160722	54736
1160723	54736
1160726	28901
1160727	28901
1160724	54736
1160725	28901
86264	930166
1331241	518
1173951	28901
450732	132606
1343749	317
1343748	317
439501	337253
1343741	317
1343740	1226757
1343743	317
1343742	317
1343745	317
1343744	317
1343747	317
1343746	317
933115	414778
743709	1452
1117111	562
1341115	212354
1192627	28901
1053222	1396
869269	1313
1339318	817
1339317	817
1053220	1396
1310972	470
1339316	817
1053221	1396
1157445	1352
1053227	1396
1157440	1352
1206756	418415
1339312	817
1206755	418415
1053225	1396
1154938	1311
1154939	1311
1154936	1311
1154937	1311
1206759	1179
264685	264684
264687	264686
264680	264679
264681	264679
264683	264682
1302732	633391
1268285	984307
1268286	1280
1268287	1280
1268288	1280
1268289	1280
1328382	573
340322	1718
315456	42862
1359197	467174
1359196	42862
1359194	33990
1359193	33990
1359192	786
1359191	786
1359199	35791
1212578	623
450438	64178
984129	264
1293908	774
1331243	518
1359178	784
675457	136072
675456	136072
1192607	28901
1192658	28901
687452	1773
687450	1773
687451	1773
1273266	196
1359177	784
593452	196
1293906	774
1359176	784
690850	873
1311073	470
1311077	470
1280952	86
1388062	1280
1383065	446
1075074	197
1388069	1280
1310592	470
1310596	470
1310597	470
1391990	1764
1079364	303
1346004	1280
340047	2095
1155729	562
469599	860
409438	562
444461	1121084
1256198	1597
1268077	644
1156597	119532
645657	1423
1406863	1280
1406864	2151
